condition,dataset,seed,timestamp_utc,notes,metric_accuracy,metric_macro_f1,metric_weighted_f1,metric_ari,metric_nmi,orch_iterations_used,orch_max_iterations,orch_escalated,orch_converged,cost_input_tokens,cost_output_tokens,cost_total_tokens,cost_wall_clock_seconds,cost_estimated_usd
orchestrator_ollama_qwen2.5:1.5b,pbmc68k_reduced,0,2026-07-22T18:57:45.290347+00:00,"agree=1, disagree=7, fallback=0",0.16714285714285715,0.05264085748536775,0.11033938771192844,0.23687089933439354,0.48396313817900183,2,2,True,True,1404,157,1561,161.53444576263428,
orchestrator_ollama_qwen2.5:1.5b,pbmc68k_reduced,1,2026-07-22T19:00:31.374771+00:00,"agree=0, disagree=8, fallback=0",0.4928571428571429,0.1756569041444225,0.3933635647677498,0.49379587156236365,0.6418702237503344,2,2,True,True,1466,173,1639,159.25944638252258,
orchestrator_ollama_qwen2.5:1.5b,pbmc68k_reduced,2,2026-07-22T19:02:48.402233+00:00,"agree=4, disagree=4, fallback=1",0.5142857142857142,0.23890905698865128,0.43712751541259975,0.547879016472224,0.6936896297483982,2,2,True,False,1179,119,1298,131.48536229133606,
orchestrator_ollama_qwen2.5:1.5b,pbmc68k_reduced,3,2026-07-22T19:05:34.545005+00:00,"agree=1, disagree=7, fallback=0",0.2914285714285714,0.04722222222222223,0.24285714285714285,0.4632238388207208,0.6570252292927464,2,2,True,True,1410,182,1592,160.52027869224548,
orchestrator_ollama_qwen2.5:1.5b,pbmc68k_reduced,4,2026-07-22T19:08:15.736965+00:00,"agree=1, disagree=7, fallback=0",0.4442857142857143,0.1461211391476646,0.3112561318145722,0.5114377675414593,0.6414136379826073,2,2,True,True,1390,190,1580,154.51981902122498,
orchestrator_ollama_qwen2.5:1.5b,pbmc68k_reduced,0,2026-07-23T01:38:32.186530+00:00,"agree=1, disagree=7, fallback=4",0.5757142857142857,0.29905558345316624,0.4548119848469989,0.5150467886260297,0.6584691409268453,2,2,True,False,1381,150,1531,211.19223761558533,
orchestrator_ollama_qwen2.5:1.5b,pbmc68k_reduced,1,2026-07-23T01:41:27.920233+00:00,"agree=1, disagree=7, fallback=3",0.3657142857142857,0.26320862348950397,0.32636366656998683,0.482652927185865,0.655432979991389,2,2,True,False,1388,168,1556,168.1408565044403,
orchestrator_ollama_qwen2.5:1.5b,pbmc68k_reduced,2,2026-07-23T01:44:25.454923+00:00,"agree=0, disagree=8, fallback=8",0.5757142857142857,0.29905558345316624,0.4548119848469989,0.5150467886260297,0.6584691409268453,2,2,True,False,1460,205,1665,171.42692613601685,
orchestrator_ollama_qwen2.5:1.5b,pbmc68k_reduced,3,2026-07-23T01:47:09.276989+00:00,"agree=1, disagree=7, fallback=1",0.5757142857142857,0.29905558345316624,0.4548119848469989,0.5150467886260297,0.6584691409268453,2,2,True,False,1399,171,1570,157.98573875427246,
orchestrator_ollama_qwen2.5:1.5b,pbmc68k_reduced,4,2026-07-23T01:49:52.774396+00:00,"agree=1, disagree=7, fallback=3",0.5757142857142857,0.29905558345316624,0.4548119848469989,0.5150467886260297,0.6584691409268453,2,2,True,False,1393,162,1555,157.61045789718628,
